City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
347,Mackay,AU,80.6,broken clouds,-21.15,149.2,Mackay
349,Wewak,PG,79.29,overcast clouds,-3.5534,143.6268,Wewak
353,Laguna De Perlas,NI,80.6,broken clouds,12.3429,-83.6712,Laguna de Perlas
354,Manado,ID,77.0,few clouds,1.4869999999999999,124.8455,Manado
361,Tuxpan,MX,75.2,scattered clouds,19.55,-103.4,Tuxpan
366,Santa Cruz,BO,84.2,broken clouds,-17.8,-63.1667,Santa Cruz de la Sierra
371,Rosa Zarate,EC,75.51,moderate rain,0.3333,-79.4667,Quininde
374,Mahajanga,MG,80.6,scattered clouds,-15.7167,46.3167,Mahajanga
377,Makakilo City,US,78.8,clear sky,21.3469,-158.0858,Kapolei
379,Labuhan,ID,78.73,overcast clouds,-6.8844,112.2051,Musholla Babut Taubat
382,Acapulco,MX,84.2,clear sky,16.8634,-99.8901,Acapulco
384,Cartagena Del Chaira,CO,75.34,overcast clouds,1.3349,-74.8429,Cartagena del Chairá
385,Sechura,PE,78.8,scattered clouds,-5.5569,-80.8222,Sechura District
388,Yeppoon,AU,84.2,scattered clouds,-23.1333,150.7333,Yeppoon
395,Nhulunbuy,AU,78.8,overcast clouds,-12.2333,136.7667,Nhulunbuy
400,Piacabucu,BR,79.27,scattered clouds,-10.4056,-36.4344,Piaçabuçu
404,Taoudenni,ML,77.2,overcast clouds,22.6783,-3.9836,Taoudenni
411,Marihatag,PH,79.93,overcast clouds,8.7936,126.2969,Marihatag
414,Riberalta,BO,82.4,broken clouds,-10.9833,-66.1,Riberalta
422,Tera,NE,76.24,few clouds,14.0078,0.7531,Tera
426,Roebourne,AU,81.32,few clouds,-20.7833,117.1333,Roebourne
427,Porto Belo,BR,75.2,clear sky,-27.1578,-48.5531,Bombinhas
430,Charters Towers,AU,83.8,scattered clouds,-20.1,146.2667,Charters Towers
435,San Pedro,PH,79.0,broken clouds,14.35,121.0167,Bacoor
438,Malabo,GQ,78.8,few clouds,3.75,8.7833,Malabo
439,Biak,ID,78.84,overcast clouds,-0.9131,122.8766,CV. Karya Alam Perkasa
446,Dingle,PH,78.84,overcast clouds,10.9995,122.6711,Pototan
452,Hambantota,LK,76.42,overcast clouds,6.1241,81.1185,Hambantota
453,Kieta,PG,86.34,clear sky,-6.2167,155.6333,Kieta
455,Barcarena,BR,82.4,clear sky,-1.5058,-48.6258,Barcarena
457,Takaungu,KE,76.78,clear sky,-3.6837,39.8566,Kilifi
461,Poya,NC,83.28,few clouds,-21.35,165.15,Poya
466,Pointe Michel,DM,78.8,broken clouds,15.25,-61.3833,Roseau
468,Lazaro Cardenas,MX,78.93,clear sky,17.9583,-102.2,Lázaro Cárdenas
469,Luwuk,ID,80.78,overcast clouds,-0.9516,122.7875,Luwuk
476,Bairiki,KI,84.2,broken clouds,1.3292,172.9752,Bairiki
478,Moranbah,AU,83.66,clear sky,-22.0016,148.0466,Moranbah
481,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Wilson Hill
486,Narrabri,AU,77.0,overcast clouds,-30.3167,149.7833,Narrabri
492,Bridgetown,BB,78.8,scattered clouds,13.1,-59.6167,Bridgetown
493,Boa Vista,BR,82.4,light rain,2.8197,-60.6733,Boa Vista
494,Bang Khla,TH,79.0,broken clouds,13.7214,101.2081,Bang Khla
497,Bitung,ID,77.0,few clouds,1.4451,125.1824,Bitung
498,Dano,BF,79.05,scattered clouds,11.15,-3.0667,Dano
500,Morondava,MG,80.37,overcast clouds,-20.2833,44.2833,Morondava
502,Alofi,NU,78.8,light rain,-19.0595,-169.9187,Alofi
508,Urucara,BR,81.39,broken clouds,-2.5364,-57.76,Urucará
510,Coihaique,CL,84.2,clear sky,-45.5752,-72.0662,Coyhaique
513,Vanimo,PG,79.05,overcast clouds,-2.6741,141.3028,Vanimo
514,Sulangan,PH,80.22,overcast clouds,11.1373,123.7228,Bantayan
515,Brazzaville,CG,82.4,scattered clouds,-4.2658,15.2832,Brazzaville
522,Itarema,BR,78.13,few clouds,-2.9248,-39.9167,Itarema
524,Pangai,TO,82.4,light rain,-19.8,-174.35,Pangai
528,Jalpa,MX,84.2,clear sky,21.6333,-102.9667,Jalpa
538,Sarangani,PH,81.97,overcast clouds,5.4033,125.4636,Municipality of Sarangani
539,Guaimaro,CU,80.6,scattered clouds,21.05,-77.35,Guáimaro
543,Grand Gaube,MU,75.99,light rain,-20.0064,57.6608,Goodlands
546,Maryborough,AU,86.97,scattered clouds,-25.5333,152.7,Maryborough
548,Coxim,BR,77.4,scattered clouds,-18.5067,-54.76,Coxim
549,Isangel,VU,84.2,few clouds,-19.55,169.2667,Isangel
