City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Nome,US,64.5011,-165.4064,15.8,79,90,28.77,light snow
79,Noumea,NC,-22.2763,166.4572,84.2,70,40,3.44,scattered clouds
80,Matara,LK,5.9485,80.5353,73.81,88,61,4.09,broken clouds
81,San Cristobal,VE,7.7669,-72.225,82.4,65,75,5.75,broken clouds
82,Linjiang,CN,41.8069,126.9078,22.21,93,93,1.34,overcast clouds
83,Arona,ES,28.0996,-16.681,59.0,72,20,6.91,few clouds
84,Saint-Francois,FR,46.4154,3.9054,46.0,100,20,2.3,mist
85,Aklavik,CA,68.2191,-135.0107,-32.8,75,20,3.44,few clouds
86,Klaksvik,FO,62.2266,-6.589,32.0,100,20,4.61,light snow
87,Waycross,US,31.2136,-82.354,53.6,54,90,6.91,light rain
88,Tamandare,BR,-8.7597,-35.1047,78.46,80,3,8.32,clear sky
89,Khatanga,RU,71.9667,102.5,-33.99,78,10,7.29,clear sky
90,Bakchar,RU,57.0186,82.0711,9.79,96,91,6.44,overcast clouds
91,Hofn,IS,64.2539,-15.2082,37.26,78,100,16.78,overcast clouds
92,Hermanus,ZA,-34.4187,19.2345,66.99,88,4,1.01,clear sky
93,Saldanha,ZA,-33.0117,17.9442,62.6,88,0,6.91,clear sky
94,Kodiak,US,57.79,-152.4072,39.2,70,40,9.22,scattered clouds
95,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.28,94,97,7.05,overcast clouds
96,Nanortalik,GL,60.1432,-45.2371,20.19,73,0,3.89,clear sky
97,Hilo,US,19.7297,-155.09,78.8,57,1,11.5,clear sky
98,Beringovskiy,RU,63.05,179.3167,-5.44,88,100,8.21,overcast clouds
99,Ilinskiy,RU,55.619,38.1182,10.4,67,75,15.66,broken clouds
100,Hithadhoo,MV,-0.6,73.0833,82.2,79,100,13.29,overcast clouds
101,Manacapuru,BR,-3.2997,-60.6206,84.2,74,40,3.44,moderate rain
102,Vestmannaeyjar,IS,63.4427,-20.2734,40.66,69,65,26.51,broken clouds
103,San Joaquin,US,37.9333,-121.3011,64.0,42,1,5.75,clear sky
104,Aksu,CN,41.1231,80.2644,23.22,87,62,2.73,broken clouds
105,Tiksi,RU,71.6872,128.8694,-17.46,89,100,9.95,overcast clouds
106,Kirkenes,NO,69.7271,30.0458,24.8,74,90,18.41,light snow
107,Nyurba,RU,63.2842,118.3319,-41.31,80,32,4.18,scattered clouds
